,FIRE_ID,Fire Name,Acres,Date,Fire Type,LATITUDE,LONGITUDE,time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration
2331,CA3445311858120171205,RYE,4895.0,2017-12-05,Wildfire,34.43,-118.635,'2017-12-05',0,16.3,7.9,11.5,9.7,2.1,5.3,'2017-12-05T07:45','2017-12-05T17:45',13.06,0.0,0.0,0.0,0.0,26.9,66.6,28,4.5
2332,CA3445411811320040720,CROWN COMPLEX (CROWN),12492.0,2004-07-20,Wildfire,34.454,-118.113,'2004-07-20',0,33.7,20.5,26.6,33.1,19.3,25.6,'2004-07-20T05:53','2004-07-20T20:03',29.97,0.0,0.0,0.0,0.0,14.7,39.6,225,7.42
2333,CA3445411967620081113,TEA,1927.0,2008-11-13,Wildfire,34.454,-119.676,'2008-11-13',1,27.5,14.3,19.7,24.7,9.5,15.8,'2008-11-13T07:29','2008-11-13T17:56',14.64,0.0,0.0,0.0,0.0,25.0,40.0,7,5.1
2334,CA3445711915319991221,RANCH,4011.0,1999-12-21,Wildfire,34.457,-119.153,'1999-12-21',0,21.5,7.0,13.8,18.1,3.8,10.7,'1999-12-21T07:57','1999-12-21T17:51',12.13,0.0,0.0,0.0,0.0,8.4,32.0,14,2.5
2335,CA3445911827720020914,OASIS,1199.0,2002-09-14,Wildfire,34.459,-118.277,'2002-09-14',0,34.3,15.7,25.9,33.3,14.4,24.9,'2002-09-14T06:34','2002-09-14T19:02',24.16,0.0,0.0,0.0,0.0,9.4,31.7,210,5.37
2336,CA3446011804519940625,SHOOTING,4094.0,1994-06-25,Wildfire,34.46,-118.045,'1994-06-25',0,36.3,21.9,28.5,33.9,19.2,25.9,'1994-06-25T05:39','1994-06-25T20:09',31.51,0.0,0.0,0.0,0.0,16.9,46.8,216,8.54
2337,CA3446111872819990717,HOLSER,2528.0,1999-07-17,Wildfire,34.461,-118.728,'1999-07-17',0,30.2,17.5,23.8,31.6,19.0,25.1,'1999-07-17T05:53','1999-07-17T20:08',30.01,0.0,0.0,0.0,0.0,12.9,34.6,205,6.19
2338,CA3446911978419900627,PAINT,4762.0,1990-06-27,Wildfire,34.469,-119.784,'1990-06-27',0,32.5,22.6,27.2,29.8,19.0,23.5,'1990-06-27T05:47','1990-06-27T20:17',30.79,0.0,0.0,0.0,0.0,31.8,45.0,321,10.58
2339,CA3447411972520090505,JESUSITA,8569.0,2009-05-05,Wildfire,34.474,-119.725,'2009-05-05',1,27.7,14.9,20.8,26.2,12.8,18.7,'2009-05-05T06:02','2009-05-05T19:48',28.48,0.0,0.0,0.0,0.0,24.0,59.4,316,6.71
2340,CA3447611881619970805,HOPPER,24072.0,1997-08-05,Wildfire,34.476,-118.816,'1997-08-05',0,39.2,21.0,30.3,40.3,20.6,30.2,'1997-08-05T06:07','1997-08-05T19:54',27.76,0.0,0.0,0.0,0.0,9.5,28.1,328,7.0
2341,CA3448011886120031023,PIRU,63920.0,2003-10-23,Wildfire,34.48,-118.861,'2003-10-23',1,28.3,14.1,20.0,25.4,11.3,17.6,'2003-10-23T07:06','2003-10-23T18:13',15.43,0.0,0.0,0.0,0.0,9.7,25.6,340,3.66
2342,CA3448511986620080701,GAP,9368.0,2008-07-01,Wildfire,34.485,-119.866,'2008-07-01',0,26.5,16.4,21.9,25.3,13.9,19.6,'2008-07-01T05:49','2008-07-01T20:17',30.43,0.0,0.0,0.0,0.0,28.8,47.2,311,7.27
2343,CA3448712019620040605,GAVIOTA,7624.0,2004-06-05,Wildfire,34.487,-120.196,'2004-06-05',0,27.8,16.2,21.5,25.9,13.7,19.0,'2004-06-05T05:46','2004-06-05T20:12',31.78,0.0,0.0,0.0,0.0,20.4,50.0,324,7.53
2344,CA3449011860020180922,CHARLIE,3367.0,2018-09-22,Wildfire,34.521,-118.559,'2018-09-22',0,33.6,21.0,26.7,33.1,18.4,25.4,'2018-09-22T06:41','2018-09-22T18:52',21.57,0.0,0.0,0.0,0.0,12.5,36.4,196,5.36
2345,CA3449311849520011012,STABLES,6726.0,2001-10-12,Wildfire,34.493,-118.495,'2001-10-12',1,27.1,12.4,19.5,24.4,10.2,16.9,'2001-10-12T06:56','2001-10-12T18:24',19.33,0.0,0.0,0.0,0.0,13.2,36.4,28,4.36
2346,CA3450211865020010827,SLOAN,1788.0,2001-08-27,Wildfire,34.502,-118.65,'2001-08-27',0,34.9,20.0,27.4,37.2,21.5,29.2,'2001-08-27T06:23','2001-08-27T19:28',26.83,0.0,0.0,0.0,0.0,11.1,31.3,225,6.02
2347,CA3451011935419850701,WHEELER 2,126854.0,1985-07-01,Wildfire,34.51,-119.354,'1985-07-01',1,34.6,17.9,27.2,34.8,15.9,25.7,'1985-07-01T05:47','1985-07-01T20:15',31.23,0.0,0.0,0.0,0.0,11.6,34.9,309,7.52
2348,CA3451411930419931027,WHEEL,1459.0,1993-10-27,Wildfire,34.514,-119.304,'1993-10-27',0,27.3,12.9,18.9,24.6,9.5,16.2,'1993-10-27T07:12','1993-10-27T18:09',17.47,0.0,0.0,0.0,0.0,10.4,37.4,28,3.71
2349,CA3451511844620071021,BUCKWEED,41332.0,2007-10-21,Wildfire,34.515,-118.446,'2007-10-21',0,22.3,10.6,16.3,14.6,5.9,9.7,'2007-10-21T07:03','2007-10-21T18:13',18.59,0.0,0.0,0.0,0.0,35.4,86.8,35,6.85
2350,CA3451611872720071020,RANCH,37009.0,2007-10-20,Wildfire,34.516,-118.727,'2007-10-20',1,23.1,11.4,16.3,20.6,7.2,13.6,'2007-10-20T07:03','2007-10-20T18:16',17.61,0.0,0.0,0.0,0.0,15.4,42.5,337,3.99
2351,CA3453012005420160615,SHERPA,7549.0,2016-06-15,Wildfire,34.497,-120.033,'2016-06-15',0,18.1,13.1,15.3,14.9,9.3,11.5,'2016-06-15T05:45','2016-06-15T20:15',30.82,0.0,0.0,0.0,0.0,31.5,49.3,307,5.13
2352,CA3453911843620020511,BOUQUET,4644.0,2002-05-11,Wildfire,34.539,-118.436,'2002-05-11',0,24.9,7.6,16.2,22.9,5.2,13.8,'2002-05-11T05:52','2002-05-11T19:47',30.35,0.0,0.0,0.0,0.0,15.3,40.0,12,5.58
2353,CA3454011961519850523,UNNAMED,2620.0,1985-05-23,Wildfire,34.54,-119.615,'1985-05-23',51,26.9,14.6,21.7,28.0,13.5,21.3,'1985-05-23T05:48','1985-05-23T20:01',29.34,0.2,0.2,0.0,1.0,10.3,35.6,291,5.94
2354,CA3454111816120050705,TOVEY,1184.0,2005-07-05,Wildfire,34.541,-118.161,'2005-07-05',0,29.0,15.2,21.9,30.2,14.6,21.8,'2005-07-05T05:44','2005-07-05T20:10',31.72,0.0,0.0,0.0,0.0,12.1,38.2,237,6.57
2355,CA3454311980320130527,WHITE,2033.0,2013-05-27,Wildfire,34.552,-119.774,'2013-05-27',1,25.9,13.7,19.4,23.7,11.4,16.8,'2013-05-27T05:47','2013-05-27T20:04',30.07,0.0,0.0,0.0,0.0,20.6,60.8,326,6.84
2356,CA3454511867119920720,DEVIL,1319.0,1992-07-20,Wildfire,34.545,-118.671,'1992-07-20',0,33.8,19.6,26.8,34.7,20.1,27.1,'1992-07-20T05:55','1992-07-20T20:06',30.34,0.0,0.0,0.0,0.0,11.1,33.1,258,6.93
2357,CA3454611980520160818,REY,33323.0,2016-08-18,Wildfire,34.586,-119.725,'2016-08-18',0,29.0,17.0,23.2,28.3,15.3,21.6,'2016-08-18T06:21','2016-08-18T19:43',28.77,0.0,0.0,0.0,0.0,10.9,38.5,139,6.37
2358,CA3455012052820020615,SUDDEN RANCH,7840.0,2002-06-15,Wildfire,34.547,-120.532,'2002-06-15',0,18.0,12.1,14.4,17.0,9.5,12.0,'2002-06-15T05:47','2002-06-15T20:17',31.46,0.0,0.0,0.0,0.0,25.3,45.4,309,4.31
2359,CA3455211818319840529,SHANNON FIRE,3554.0,1984-05-29,Wildfire,34.552,-118.183,'1984-05-29',2,35.9,18.4,27.9,34.6,15.5,25.3,'1984-05-29T05:40','1984-05-29T20:00',25.42,0.0,0.0,0.0,0.0,10.0,33.5,19,6.52
2360,CA3455211818619990829,SHANNON,3554.0,1999-08-29,Wildfire,34.552,-118.186,'1999-08-29',0,33.4,20.7,26.6,32.1,19.0,24.5,'1999-08-29T06:22','1999-08-29T19:24',27.31,0.0,0.0,0.0,0.0,13.5,35.3,207,6.65
2361,CA3455811848220020605,COPPER,19048.0,2002-06-05,Wildfire,34.558,-118.482,'2002-06-05',0,35.5,16.2,26.8,37.0,14.9,26.7,'2002-06-05T05:39','2002-06-05T20:05',30.93,0.0,0.0,0.0,0.0,8.7,30.2,275,6.83
2362,CA3455811920219911020,LION,1766.0,1991-10-20,Wildfire,34.558,-119.202,'1991-10-20',0,28.6,14.7,21.2,26.1,12.0,19.0,'1991-10-20T07:05','1991-10-20T18:17',17.47,0.0,0.0,0.0,0.0,12.5,43.9,55,4.25
2363,CA3456411829420030724,HAUSER,2139.0,2003-07-24,Wildfire,34.564,-118.294,'2003-07-24',1,28.7,17.3,22.7,29.5,17.3,22.7,'2003-07-24T05:56','2003-07-24T20:02',28.03,0.0,0.0,0.0,0.0,11.8,35.6,208,5.97
2364,CA3456611968919981016,UNNAMED,1942.0,1998-10-16,Wildfire,34.566,-119.689,'1998-10-16',0,19.1,8.5,13.4,18.1,5.2,10.9,'1998-10-16T07:04','1998-10-16T18:24',19.19,0.0,0.0,0.0,0.0,11.8,35.3,20,3.59
2365,CA3456711995220170708,WHITTIER CA-LBOR-001770,18510.0,2017-07-08,Wildfire,34.535,-119.952,'2017-07-08',0,32.9,23.1,29.1,34.5,21.7,28.5,'2017-07-08T05:53','2017-07-08T20:16',30.16,0.0,0.0,0.0,0.0,12.8,33.1,351,7.75
2366,CA3457511701819960503,BARSTOW,1060.0,1996-05-03,Wildfire,34.575,-117.018,'1996-05-03',0,28.5,15.1,21.4,23.4,11.0,16.6,'1996-05-03T05:53','1996-05-03T19:36',30.71,0.0,0.0,0.0,0.0,23.8,55.8,196,8.44
2367,CA3457611822820100729,CROWN,14033.0,2010-07-29,Wildfire,34.576,-118.228,'2010-07-29',1,30.7,16.9,23.5,29.9,15.6,22.2,'2010-07-29T05:59','2010-07-29T19:58',27.62,0.0,0.0,0.0,0.0,13.5,33.8,210,6.33
2368,CA3458412028519970923,RANGE,1285.0,1997-09-23,Wildfire,34.584,-120.285,'1997-09-23',0,28.2,17.7,22.9,28.4,16.4,22.3,'1997-09-23T06:49','1997-09-23T18:57',22.36,0.0,0.0,0.0,0.0,17.3,26.3,36,4.85
2369,CA3458511827520020903,LEONA,5089.0,2002-09-03,Wildfire,34.585,-118.275,'2002-09-03',51,32.2,20.2,25.4,31.2,19.2,24.4,'2002-09-03T06:26','2002-09-03T19:18',24.22,0.2,0.2,0.0,1.0,18.9,38.9,223,6.33
2370,CA3458611866319960826,MARPLE,20416.0,1996-08-26,Wildfire,34.586,-118.663,'1996-08-26',0,32.9,18.1,25.5,31.6,18.5,25.0,'1996-08-26T06:22','1996-08-26T19:29',27.34,0.0,0.0,0.0,0.0,18.0,44.6,238,6.46
2371,CA3459211877319960711,GORGE,1716.0,1996-07-11,Wildfire,34.592,-118.773,'1996-07-11',1,31.1,19.8,25.1,33.4,21.4,26.9,'1996-07-11T05:50','1996-07-11T20:11',27.17,0.0,0.0,0.0,0.0,12.7,33.5,231,5.74
2372,CA3459311921120020601,WOLF,21097.0,2002-06-01,Wildfire,34.593,-119.211,'2002-06-01',1,24.4,12.9,18.2,24.7,12.6,17.8,'2002-06-01T05:43','2002-06-01T20:05',30.16,0.0,0.0,0.0,0.0,9.7,40.3,299,5.7
2373,CA3459411855519870920,RUBY,10001.0,1987-09-20,Wildfire,34.594,-118.555,'1987-09-20',0,33.7,15.5,24.1,32.3,13.2,22.5,'1987-09-20T06:39','1987-09-20T18:55',23.35,0.0,0.0,0.0,0.0,6.0,30.2,5,4.9
2374,CA3459411948820020623,UNNAMED,2447.0,2002-06-23,Wildfire,34.594,-119.488,'2002-06-23',0,30.5,11.9,21.6,30.3,9.9,20.0,'2002-06-23T05:44','2002-06-23T20:15',32.17,0.0,0.0,0.0,0.0,6.9,26.3,4,6.73
2375,CA3459511843720130530,POWERHOUSE,32329.0,2013-05-30,Wildfire,34.668,-118.457,'2013-05-30',0,30.8,12.1,21.3,28.2,8.4,17.6,'2013-05-30T05:40','2013-05-30T20:01',31.83,0.0,0.0,0.0,0.0,15.5,45.0,302,8.12
2376,CA3459611987319880819,UNNAMED,4709.0,1988-08-19,Wildfire,34.596,-119.873,'1988-08-19',0,24.8,17.0,20.7,25.5,16.7,20.5,'1988-08-19T06:22','1988-08-19T19:43',27.39,0.0,0.0,0.0,0.0,17.7,26.3,290,5.35
2377,CA3459711869120040807,EAST,1403.0,2004-08-07,Wildfire,34.597,-118.691,'2004-08-07',0,33.4,14.9,24.7,32.7,13.0,23.3,'2004-08-07T06:08','2004-08-07T19:52',29.57,0.0,0.0,0.0,0.0,11.5,33.1,247,6.59
2378,CA3460411991919850912,UNNAMED,2720.0,1985-09-12,Wildfire,34.604,-119.919,'1985-09-12',1,24.1,12.4,18.4,23.4,9.3,16.2,'1985-09-12T06:39','1985-09-12T19:11',24.27,0.0,0.0,0.0,0.0,16.1,27.4,337,5.31
2379,CA3460611971319880328,UNNAMED,3588.0,1988-03-28,Wildfire,34.606,-119.713,'1988-03-28',0,23.2,7.6,14.4,20.6,3.0,10.4,'1988-03-28T06:48','1988-03-28T19:18',26.16,0.0,0.0,0.0,0.0,11.0,43.2,28,5.55
2380,CA3461311962519981016,OGILVY,4048.0,1998-10-16,Wildfire,34.613,-119.625,'1998-10-16',0,18.7,7.2,12.4,16.5,3.6,9.1,'1998-10-16T07:03','1998-10-16T18:24',19.31,0.0,0.0,0.0,0.0,10.3,36.0,33,3.68
2381,CA3461511897120060904,DAY,159713.0,2006-09-04,Wildfire,34.615,-118.971,'2006-09-04',0,30.6,15.9,23.6,30.7,14.9,22.5,'2006-09-04T06:30','2006-09-04T19:19',25.74,0.0,0.0,0.0,0.0,6.6,30.6,329,5.49
2382,CA3461911968819940601,UNNAMED,1807.0,1994-06-01,Wildfire,34.619,-119.688,'1994-06-01',0,28.9,13.9,21.2,27.9,11.8,19.0,'1994-06-01T05:45','1994-06-01T20:07',31.34,0.0,0.0,0.0,0.0,15.1,53.6,21,7.13
2383,CA3462911830219860703,LEONA,1019.0,1986-07-03,Wildfire,34.629,-118.302,'1986-07-03',2,32.4,19.0,25.3,32.8,18.1,24.2,'1986-07-03T05:43','1986-07-03T20:11',30.36,0.0,0.0,0.0,0.0,19.1,42.1,257,7.81
2384,CA3463111923020160630,PINE,2345.0,2016-06-30,Wildfire,34.639,-119.234,'2016-06-30',0,29.7,16.4,23.2,29.6,14.2,21.3,'2016-06-30T05:46','2016-06-30T20:15',31.84,0.0,0.0,0.0,0.0,7.8,27.7,51,6.49
2385,CA3463411989219860915,UNNAMED,4396.0,1986-09-15,Wildfire,34.634,-119.892,'1986-09-15',0,21.7,11.2,15.9,20.6,9.9,14.3,'1986-09-15T06:41','1986-09-15T19:07',23.91,0.0,0.0,0.0,0.0,16.3,44.6,326,4.4
2386,CA3463412033019970820,SANTA ROSA,2829.0,1997-08-20,Wildfire,34.634,-120.33,'1997-08-20',2,23.9,17.8,20.7,27.9,19.3,22.8,'1997-08-20T06:24','1997-08-20T19:44',24.18,0.0,0.0,0.0,0.0,18.9,50.4,219,4.15
2387,CA3464911838419890628,SAN FRANCISCO,2343.0,1989-06-28,Wildfire,34.649,-118.384,'1989-06-28',0,26.5,12.5,19.5,24.7,11.2,17.5,'1989-06-28T05:41','1989-06-28T20:11',31.91,0.0,0.0,0.0,0.0,20.8,46.8,196,6.66
2388,CA3465412058320101028,BEAR CREEK,1311.0,2010-10-28,Wildfire,34.654,-120.583,'2010-10-28',1,20.1,12.9,16.3,16.7,10.0,13.6,'2010-10-28T07:18','2010-10-28T18:14',15.63,0.0,0.0,0.0,0.0,23.5,44.6,150,3.57
2389,CA3466411915219871002,FISH,4052.0,1987-10-02,Wildfire,34.664,-119.152,'1987-10-02',1,27.8,14.1,20.9,26.4,11.8,18.6,'1987-10-02T06:50','1987-10-02T18:40',16.76,0.0,0.0,0.0,0.0,6.5,23.8,13,3.66
2390,CA3469311837020050627,MUNZ,1393.0,2005-06-27,Wildfire,34.693,-118.37,'2005-06-27',0,27.8,12.3,20.6,25.4,10.7,18.1,'2005-06-27T05:41','2005-06-27T20:11',30.14,0.0,0.0,0.0,0.0,18.1,43.2,226,7.0
2391,CA3469511965920070704,ZACA,241846.0,2007-07-04,Wildfire,34.695,-119.659,'2007-07-04',1,32.8,12.9,23.7,32.7,9.1,21.1,'2007-07-04T05:49','2007-07-04T20:16',31.73,0.0,0.0,0.0,0.0,7.6,26.3,17,6.99
2392,CA3469811712319930720,STODDARD 4,2493.0,1993-07-20,Wildfire,34.698,-117.123,'1993-07-20',0,29.3,13.2,21.6,26.5,10.8,18.8,'1993-07-20T05:48','1993-07-20T20:00',31.17,0.0,0.0,0.0,0.0,17.6,45.7,229,7.44
2393,CA3470111707519840512,STODDARD 2,2458.0,1984-05-12,Wildfire,34.701,-117.075,'1984-05-12',0,32.6,16.4,25.0,30.2,14.2,22.7,'1984-05-12T05:45','1984-05-12T19:43',30.23,0.0,0.0,0.0,0.0,14.4,32.8,116,7.33
2394,CA3470612057719971031,HALOWEEN,1154.0,1997-10-31,Wildfire,34.706,-120.577,'1997-10-31',0,24.1,17.3,20.6,21.5,14.8,18.0,'1997-10-31T07:21','1997-10-31T18:10',15.92,0.0,0.0,0.0,0.0,23.7,41.4,347,4.71
2395,CA3471012049419970927,AZALEA,1368.0,1997-09-27,Wildfire,34.71,-120.494,'1997-09-27',0,27.0,18.5,22.2,27.2,17.0,21.3,'1997-09-27T06:52','1997-09-27T18:52',21.55,0.0,0.0,0.0,0.0,23.4,37.8,330,5.12
2396,CA3472012055020160918,CANYON,12749.0,2016-09-18,Wildfire,34.597,-120.584,'2016-09-18',0,21.9,16.6,18.7,22.8,16.3,19.1,'2016-09-18T06:46','2016-09-18T19:05',23.39,0.0,0.0,0.0,0.0,10.3,19.8,325,3.9
2397,CA3472411990120040503,CACHUMA,1067.0,2004-05-03,Wildfire,34.724,-119.901,'2004-05-03',0,30.2,13.7,22.4,28.5,10.3,19.6,'2004-05-03T06:04','2004-05-03T19:47',29.73,0.0,0.0,0.0,0.0,12.9,44.3,334,6.96
2398,CA3472511995719930925,MARRE,44309.0,1993-09-25,Wildfire,34.725,-119.957,'1993-09-25',0,29.2,10.8,19.8,28.1,8.0,17.2,'1993-09-25T06:49','1993-09-25T18:53',22.93,0.0,0.0,0.0,0.0,8.7,27.0,30,5.08
2399,CA3473112044619941009,OAK HILL,1987.0,1994-10-09,Wildfire,34.731,-120.446,'1994-10-09',0,26.6,15.4,20.2,25.9,13.1,19.0,'1994-10-09T07:01','1994-10-09T18:36',19.72,0.0,0.0,0.0,0.0,15.5,23.4,41,4.38
2400,CA3474011878120020618,COPCO,1512.0,2002-06-18,Wildfire,34.74,-118.781,'2002-06-18',0,29.1,15.7,22.7,28.7,12.3,20.2,'2002-06-18T05:40','2002-06-18T20:12',31.56,0.0,0.0,0.0,0.0,17.5,54.7,319,7.92
2401,CA3474111860820040712,PINE,18309.0,2004-07-12,Wildfire,34.741,-118.608,'2004-07-12',0,34.6,18.8,27.2,35.1,17.1,25.7,'2004-07-12T05:49','2004-07-12T20:10',30.89,0.0,0.0,0.0,0.0,9.0,31.7,282,7.01
2402,CA3474511837119860817,POPPY FIRE,1227.0,1986-08-17,Wildfire,34.745,-118.371,'1986-08-17',0,35.8,17.8,27.1,35.0,15.9,25.5,'1986-08-17T06:14','1986-08-17T19:40',28.43,0.0,0.0,0.0,0.0,10.4,23.8,264,7.06
2403,CA3475811881220070519,GORMAN,2606.0,2007-05-19,Wildfire,34.758,-118.812,'2007-05-19',0,25.0,10.4,17.8,25.3,7.1,15.5,'2007-05-19T05:47','2007-05-19T19:55',31.53,0.0,0.0,0.0,0.0,11.7,36.7,320,6.51
2404,CA3478112048620000913,HARRIS,9274.0,2000-09-13,Wildfire,34.781,-120.486,'2000-09-13',1,25.7,19.4,21.7,25.3,18.8,21.1,'2000-09-13T06:42','2000-09-13T19:12',21.52,0.0,0.0,0.0,0.0,21.3,41.0,154,4.8
2405,CA3480011967619970508,UNNAMED,1172.0,1997-05-08,Wildfire,34.8,-119.676,'1997-05-08',1,25.4,10.4,18.0,24.5,7.4,15.5,'1997-05-08T05:59','1997-05-08T19:50',29.81,0.0,0.0,0.0,0.0,9.4,32.8,10,6.1
2406,CA3480511881920060813,QUAIL,4949.0,2006-08-13,Wildfire,34.805,-118.819,'2006-08-13',0,28.9,16.5,22.2,28.5,14.4,20.7,'2006-08-13T06:13','2006-08-13T19:47',29.64,0.0,0.0,0.0,0.0,5.2,29.9,173,5.92
2407,CA3480712050119840507,MINUTEMAN,3159.0,1984-05-07,Wildfire,34.807,-120.501,'1984-05-07',0,25.8,14.3,20.3,26.0,9.2,17.0,'1984-05-07T06:03','1984-05-07T19:53',29.8,0.0,0.0,0.0,0.0,20.9,35.3,7,7.35
2408,CA3481111887720050903,GORMAN,2439.0,2005-09-03,Wildfire,34.811,-118.877,'2005-09-03',0,29.6,16.3,22.7,28.2,12.3,20.0,'2005-09-03T06:28','2005-09-03T19:20',27.32,0.0,0.0,0.0,0.0,7.6,36.4,178,5.84
2409,CA3481412033519850912,UNNAMED,1112.0,1985-09-12,Wildfire,34.814,-120.335,'1985-09-12',1,26.1,11.5,18.2,26.3,9.7,16.8,'1985-09-12T06:41','1985-09-12T19:13',24.34,0.0,0.0,0.0,0.0,8.9,26.6,349,4.74
2410,CA3481811891020130515,GRAND,4526.0,2013-05-15,Wildfire,34.789,-118.911,'2013-05-15',1,24.6,11.8,18.1,23.1,8.3,15.4,'2013-05-15T05:50','2013-05-15T19:53',30.52,0.0,0.0,0.0,0.0,12.0,44.6,348,6.25
2411,CA3483911890520100824,POST,1454.0,2010-08-24,Wildfire,34.839,-118.905,'2010-08-24',0,34.2,16.7,25.9,35.3,14.7,25.1,'2010-08-24T06:21','2010-08-24T19:34',27.31,0.0,0.0,0.0,0.0,11.5,43.6,59,6.28
2412,CA3484512056319930615,CASMALIA,1368.0,1993-06-15,Wildfire,34.845,-120.563,'1993-06-15',0,20.5,15.1,17.6,20.5,13.6,16.4,'1993-06-15T05:46','1993-06-15T20:18',31.26,0.0,0.0,0.0,0.0,20.7,50.4,326,5.24
2413,CA3485111969520060619,PERKINS,14342.0,2006-06-19,Wildfire,34.851,-119.695,'2006-06-19',0,30.7,19.1,24.8,30.4,17.5,23.3,'2006-06-19T05:43','2006-06-19T20:16',31.69,0.0,0.0,0.0,0.0,10.1,36.4,316,7.07
2414,CA3485211888620030630,TEJON,1195.0,2003-06-30,Wildfire,34.852,-118.886,'2003-06-30',0,29.3,18.4,23.8,29.7,15.1,21.9,'2003-06-30T05:43','2003-06-30T20:14',31.98,0.0,0.0,0.0,0.0,9.5,32.0,306,7.24
2415,CA3488112062219890614,COCHEO,1510.0,1989-06-14,Wildfire,34.881,-120.622,'1989-06-14',0,22.8,15.9,18.1,22.2,13.5,16.5,'1989-06-14T05:46','1989-06-14T20:18',31.5,0.0,0.0,0.0,0.0,25.5,41.0,330,5.7
2416,CA3489011892119990726,UNNAMED,1062.0,1999-07-26,Wildfire,34.89,-118.921,'1999-07-26',0,29.2,17.1,23.0,30.1,16.3,22.8,'1999-07-26T05:59','1999-07-26T20:04',31.02,0.0,0.0,0.0,0.0,9.0,28.8,214,6.25
2417,CA3490011851020180604,STONE,1659.0,2018-06-04,Wildfire,34.55,-118.292,'2018-06-04',1,32.1,15.3,23.7,31.0,14.3,22.5,'2018-06-04T05:39','2018-06-04T20:03',30.43,0.0,0.0,0.0,0.0,15.3,40.0,204,6.95
2418,CA3490211891020030720,GRAPEVINE,1955.0,2003-07-20,Wildfire,34.902,-118.91,'2003-07-20',1,31.1,19.3,25.5,33.2,19.8,26.5,'2003-07-20T05:55','2003-07-20T20:08',23.86,0.0,0.0,0.0,0.0,4.2,22.7,216,4.9
2419,CA3490511928619840810,BLUE,1977.0,1984-08-10,Wildfire,34.905,-119.286,'1984-08-10',53,30.2,19.0,24.1,30.9,19.5,24.3,'1984-08-10T06:12','1984-08-10T19:51',24.71,1.4,1.4,0.0,3.0,4.7,29.2,143,5.19
2420,CA3490911972919940730,ALISO,3404.0,1994-07-30,Wildfire,34.909,-119.729,'1994-07-30',1,32.6,22.4,26.8,33.2,22.8,26.8,'1994-07-30T06:05','1994-07-30T20:04',28.7,0.0,0.0,0.0,0.0,8.8,31.0,260,6.48
2421,CA3491311929720060722,RIDGE,2487.0,2006-07-22,Wildfire,34.913,-119.297,'2006-07-22',1,36.0,25.5,30.1,37.2,24.7,29.9,'2006-07-22T05:58','2006-07-22T20:08',25.1,0.0,0.0,0.0,0.0,9.7,22.0,327,6.18
2422,CA3491611929919880621,SANTIAGO,1623.0,1988-06-21,Wildfire,34.916,-119.299,'1988-06-21',51,25.8,13.5,19.3,27.3,13.6,19.9,'1988-06-21T05:42','1988-06-21T20:15',31.05,1.0,1.0,0.0,4.0,8.0,37.8,103,5.73
2423,CA3491911980619960703,WASIOJA,2989.0,1996-07-03,Wildfire,34.919,-119.806,'1996-07-03',1,32.8,22.2,27.6,32.4,21.1,26.0,'1996-07-03T05:49','1996-07-03T20:18',27.35,0.0,0.0,0.0,0.0,8.8,37.4,112,6.15
2424,CA3492011967219960703,CUYAMA,1663.0,1996-07-03,Wildfire,34.92,-119.672,'1996-07-03',0,35.4,26.4,30.8,34.3,26.1,29.7,'1996-07-03T05:48','1996-07-03T20:17',30.09,0.0,0.0,0.0,0.0,12.0,42.1,177,7.33
2425,CA3493011996120060722,BALD,2075.0,2006-07-22,Wildfire,34.93,-119.961,'2006-07-22',51,37.4,23.7,31.0,39.1,24.6,31.6,'2006-07-22T06:00','2006-07-22T20:11',27.21,0.3,0.3,0.0,2.0,8.1,33.5,36,6.68
2426,CA3493612002720090808,LA BREA,84213.0,2009-08-08,Wildfire,34.936,-120.027,'2009-08-08',0,28.3,12.9,20.9,28.0,11.0,19.3,'2009-08-08T06:14','2009-08-08T19:57',29.04,0.0,0.0,0.0,0.0,13.4,39.6,26,6.34
2427,CA3494811847319960723,WHITEOAK,8404.0,1996-07-23,Wildfire,34.948,-118.473,'1996-07-23',0,32.1,18.3,25.3,33.1,16.8,24.4,'1996-07-23T05:56','1996-07-23T20:04',29.9,0.0,0.0,0.0,0.0,9.9,32.4,139,7.03
2428,CA3496111944820170718,HUDSON,1186.0,2017-07-18,Wildfire,34.948,-119.465,'2017-07-18',0,35.3,24.5,29.9,34.5,23.0,28.3,'2017-07-18T05:56','2017-07-18T20:11',30.31,0.0,0.0,0.0,0.0,13.3,39.6,348,7.6
2429,CA3498511848219950730,LOPEZ,1627.0,1995-07-30,Wildfire,34.985,-118.482,'1995-07-30',53,32.6,17.6,25.3,34.4,17.5,25.8,'1995-07-30T06:00','1995-07-30T19:59',27.33,0.5,0.5,0.0,1.0,6.6,32.4,262,5.92
2430,CA3498611843120070624,WHITE,11784.0,2007-06-24,Wildfire,34.986,-118.431,'2007-06-24',0,25.3,12.6,19.3,25.1,9.5,16.8,'2007-06-24T05:39','2007-06-24T20:12',31.61,0.0,0.0,0.0,0.0,8.9,32.0,299,6.65
